"a_index","b_date","c_rate"
"BMV","2012-01-02",-0.127889060092
"BMV","2012-01-03",-0.13584036838
"BMV","2012-01-04",-0.131355932203
"BMV","2012-01-05",-0.118773946361
"BMV","2012-01-06",-0.119540229885
"BMV","2012-01-09",-0.093014128728
"BMV","2012-01-10",-0.05705229794
"BMV","2012-01-11",-0.045777426993
"BMV","2012-01-12",-0.036000000001
"BMV","2012-01-13",-0.075859344133
"BMV","2012-01-16",-0.076617705439
"BMV","2012-01-17",-0.071713147411
"BMV","2012-01-18",-0.052253689669
"BMV","2012-01-19",-0.08356545961
"BMV","2012-01-20",-0.095424325381
"BMV","2012-01-23",-0.086328125
"BMV","2012-01-24",-0.082280903177
"BMV","2012-01-25",-0.080998080614
"BMV","2012-01-26",-0.074569789674
"BMV","2012-01-27",-0.076865109269
"BMV","2012-01-30",-0.051690633501
"BMV","2012-01-31",-0.051811453059
"BMV","2012-02-01",-0.068076923077
"BMV","2012-02-02",-0.074290159472
"BMV","2012-02-03",-0.062353858145
"BMV","2012-02-06",-0.064904780411
"BMV","2012-02-07",-0.065293431791
"BMV","2012-02-08",-0.054488435907
"BMV","2012-02-09",-0.022026431718
"BMV","2012-02-10",-0.010931174089
"BMV","2012-02-13",0.017579721995
"BMV","2012-02-14",0.017775940471
"BMV","2012-02-15",0.042508417508
"BMV","2012-02-16",0.048657718121
"BMV","2012-02-17",0.005716619029
"BMV","2012-02-20",0.005631536605
"BMV","2012-02-21",-0.004893964111
"BMV","2012-02-22",0.007857733664
"BMV","2012-02-23",0.014102032352
"BMV","2012-02-24",0.027998328458
"BMV","2012-02-27",0.035579740477
"BMV","2012-02-28",0.045283018868
"BMV","2012-02-29",0.052410901468
"BMV","2012-03-01",0.067116926973
"BMV","2012-03-02",0.083404987102
"BMV","2012-03-05",0.082690659811
"BMV","2012-03-06",0.04970008569
"BMV","2012-03-07",0.079580236118
"BMV","2012-03-08",0.122890523583
"BMV","2012-03-09",0.10103626943
"BMV","2012-03-12",0.124888888889
"BMV","2012-03-13",0.133333333333
"BMV","2012-03-14",0.129968736043
"BMV","2012-03-15",0.127849798837
"BMV","2012-03-16",0.109680284191
"BMV","2012-03-19",0.104286345559
"BMV","2012-03-20",0.116659301812
"BMV","2012-03-21",0.125939019001
"BMV","2012-03-22",0.103119584056
"BMV","2012-03-23",0.069023569024
"BMV","2012-03-26",0.05826446281
"BMV","2012-03-27",0.059917355371
"BMV","2012-03-28",0.073627287854
"BMV","2012-03-29",0.059454995871
"BMV","2012-03-30",0.043969342476
"BMV","2012-04-02",0.057177129149
"BMV","2012-04-03",0.098360655737
"BMV","2012-04-04",0.076060848679
"BMV","2012-04-05",0.081690140845
"BMV","2012-04-06",0.056188605108
"BMV","2012-04-09",0.065364687126
"BMV","2012-04-10",0.036269430051
"BMV","2012-04-11",0.047619047619
"BMV","2012-04-12",0.072279586973
"BMV","2012-04-13",0.073879693177
"BMV","2012-04-16",0.09502446982
